#,Company,Symbol,Weight,??????Price,Chg,% Chg
256,Emerson Electric Co,EMR,0.127065,78 ,-0.77,(-0.98%)
257,Estee Lauder Companies Cl A,EL,0.126137,184 ,-8.29,(-4.32%)
258,Fortinet Inc,FTNT,0.125872,68 ,-0.42,(-0.61%)
259,Monster Beverage Corp,MNST,0.124593,58 ,0.4,-0.68%
260,Dexcom Inc,DXCM,0.124241,117 ,3.75,-3.30%
261,Phillips 66,PSX,0.123739,92 ,-1.51,(-1.61%)
262,Arista Networks Inc,ANET,0.122455,167 ,-7.67,(-4.40%)
263,Arthur J Gallagher & Co,AJG,0.122453,198 ,-5.06,(-2.49%)
264,Biogen Inc,BIIB,0.122197,303 ,4.42,-1.48%
265,Valero Energy Corp,VLO,0.121951,109 ,-2.32,(-2.08%)
266,Us Bancorp,USB,0.121187,30 ,-0.73,(-2.38%)
267,Occidental Petroleum Corp,OXY,0.120667,58 ,-0.93,(-1.58%)
268,Moderna Inc,MRNA,0.120607,128 ,-0.98,(-0.76%)
269,Parker Hannifin Corp,PH,0.120159,333 ,2.25,-0.68%
270,Johnson Controls Internation,JCI,0.119905,60 ,-2,(-3.24%)
271,Autodesk Inc,ADSK,0.119497,201 ,5.46,-2.80%
272,Microchip Technology Inc,MCHP,0.119445,75 ,-1.36,(-1.78%)
273,American Electric Power,AEP,0.11904,84 ,2.1,-2.56%
274,Dominion Energy Inc,D,0.117584,51 ,0.94,-1.90%
275,Truist Financial Corp,TFC,0.116836,30 ,-0.67,(-2.14%)
276,Ecolab Inc,ECL,0.11657,181 ,15.61,-9.41%
277,Cintas Corp,CTAS,0.115533,476 ,3.94,-0.84%
278,American International Group,AIG,0.115168,54 ,-0.3,(-0.55%)
279,Transdigm Group Inc,TDG,0.114852,856 ,75.78,-9.71%
280,Travelers Cos Inc,TRV,0.113627,178 ,4.21,-2.43%
281,Capital One Financial Corp,COF,0.11345,105 ,-0.17,(-0.16%)
282,Te Connectivity Ltd,TEL,0.111138,118 ,-5.45,(-4.43%)
283,Archer Daniels Midland Co,ADM,0.111135,71 ,-0.38,(-0.53%)
284,Corteva Inc,CTVA,0.111087,53 ,-1.89,(-3.44%)
285,Exelon Corp,EXC,0.110911,40 ,0.42,-1.07%
286,Idexx Laboratories Inc,IDXX,0.109573,465 ,-1.13,(-0.24%)
287,Constellation Brands Inc A,STZ,0.108974,246 ,9.43,-3.98%
288,Trane Technologies Plc,TT,0.108629,159 ,-7.11,(-4.27%)
289,Copart Inc,CPRT,0.107544,89 ,0.18,-0.20%
290,Hershey Co,HSY,0.106913,242 ,-14.4,(-5.60%)
291,Msci Inc,MSCI,0.106814,471 ,-0.45,(-0.09%)
292,Paccar Inc,PCAR,0.105155,69 ,-2.27,(-3.19%)
293,Iqvia Holdings Inc,IQV,0.104539,195 ,-3.9,(-1.96%)
294,Realty Income Corp,O,0.104225,60 ,0.75,-1.26%
295,Aflac Inc,AFL,0.10361,65 ,-0.2,(-0.30%)
296,Hilton Worldwide Holdings In,HLT,0.102875,136 ,0.27,-0.20%
297,On Semiconductor,ON,0.102669,83 ,-0.5,(-0.59%)
298,Yum Brands Inc,YUM,0.101933,129 ,0.89,-0.69%
299,Ross Stores Inc,ROST,0.100863,104 ,1.02,-0.99%
300,Hess Corp,HES,0.100672,125 ,-2.64,(-2.06%)
301,Sysco Corp,SYY,0.099973,70 ,0.46,-0.67%
302,Charter Communications Inc A,CHTR,0.099625,342 ,8.24,-2.47%
303,Xcel Energy Inc,XEL,0.099432,67 ,2.44,-3.80%
304,Carrier Global Corp,CARR,0.099181,41 ,-0.67,(-1.60%)
305,Agilent Technologies Inc,A,0.098709,116 ,-1.9,(-1.61%)
306,Dow Inc,DOW,0.098671,49 ,-0.61,(-1.22%)
307,Williams Cos Inc,WMB,0.098235,29 ,0.78,-2.73%
308,Welltower Inc,WELL,0.09788,70 ,-3,(-4.11%)
309,Paychex Inc,PAYX,0.097525,105 ,-2.7,(-2.52%)
310,Verisk Analytics Inc,VRSK,0.096873,219 ,0.47,-0.21%
311,Centene Corp,CNC,0.096844,64 ,2.21,-3.57%
312,Metlife Inc,MET,0.096421,52 ,-0.15,(-0.29%)
313,Otis Worldwide Corp,OTIS,0.096224,83 ,1.51,-1.86%
314,Ametek Inc,AME,0.096126,145 ,-2.99,(-2.03%)
315,Simon Property Group Inc,SPG,0.096016,108 ,4.49,-4.34%
316,Nucor Corp,NUE,0.095478,137 ,3.5,-2.63%
317,Dr Horton Inc,DHI,0.095195,102 ,-5.4,(-5.02%)
318,L3harris Technologies Inc,LHX,0.095157,176 ,-0.84,(-0.48%)
319,Electronic Arts Inc,EA,0.09346,127 ,0.14,-0.11%
320,Consolidated Edison Inc,ED,0.093038,96 ,3.11,-3.35%
321,Rockwell Automation Inc,ROK,0.093009,278 ,-8.54,(-2.98%)
322,Ameriprise Financial Inc,AMP,0.092409,266 ,-43.2,(-13.97%)
323,Fidelity National Info Serv,FIS,0.090711,55 ,0.58,-1.07%
